,Type,Date,Affected,Deaths,Relocated
493,Inundation,2008/10/14,0,0,0
494,Inundation,2008/10/9,0,0,0
495,Fire,2008/10/8,4,0,0
496,Fire,1983/10/16,4,0,0
497,Fire,1999/2/16,0,0,0
498,Fire,1999/2/13,3,0,0
499,Fire,1999/2/7,1,0,0
500,Fire,1999/2/7,1,0,0
501,Fire,1999/2/2,0,0,0
502,Accident,1999/1/27,0,0,0
503,Fire,1999/1/26,3,0,0
504,Fire,1999/1/12,1,0,0
505,Fire,1999/1/6,1,0,0
506,Fire,1999/1/5,0,0,0
507,Structural collapse,1992/5/11,4,0,0
508,Rainfall,1999/1/12,4,0,0
509,Fire,1992/12/17,2,0,0
510,Fire,1992/12/17,8,0,0
511,Fire,1992/12/13,1,0,0
512,Fire,1992/12/14,0,0,0
513,Fire,1992/12/10,8,0,0
514,Fire,1992/12/1,1,0,0
515,Fire,1992/11/24,2,0,0
516,Fire,1992/11/22,0,1,0
517,Electrical storm,1992/11/11,2,0,0
518,Landslide,1992/11/10,6,0,0
519,Fire,1992/11/10,2,0,0
520,Fire,1992/9/30,2,0,0
521,Fire,1992/5/31,0,0,0
522,Fire,1992/5/19,0,1,0
523,Fire,1992/5/14,0,0,0
524,Tornado,1992/5/12,1,0,0
525,Fire,2008/10/10,9,1,0
526,Fire,2000/10/8,4,0,0
527,Accident,2008/10/7,0,0,0
528,Electrical storm,2008/9/0,0,0,0
529,Fire,2008/9/20,1,0,1
530,Inundation,2008/9/18,0,0,0
531,Inundation,2008/9/15,0,0,0
532,Inundation,2008/9/15,0,0,0
533,Fire,2008/9/8,3,0,0
534,Fire,2008/9/3,0,0,0
535,Fire,2008/9/3,0,0,0
536,Fire,2008/9/3,1,0,1
537,Inundation,2008/8/27,0,0,0
538,Inundation,2008/8/27,0,0,0
539,Inundation,2008/8/27,0,0,0
540,Inundation,2008/8/26,0,0,0
541,Fire,2008/8/18,3,0,0
542,Other,2008/8/18,0,0,0
543,Electrical storm,2008/8/17,0,0,0
544,Fire,2008/8/14,1,0,0
545,Fire,2008/7/26,0,0,0
546,Fire,2008/7/19,6,0,0
547,Biological migration or loss,2008/7/14,0,0,0
548,Biological migration or loss,2008/7/14,0,0,0
549,Structural collapse,2008/6/30,1,0,0
550,Fire,2008/6/27,85,0,0
551,Other,2008/6/16,0,0,0
552,Inundation,2008/6/12,0,0,0
553,Structural collapse,2008/6/4,0,0,0
554,Leak,1995/0/0,0,0,0
555,Fire,2008/5/17,5,0,0
556,Fire,2008/5/2,2,0,0
557,Fire,2008/5/19,0,0,0
558,Fire,2008/4/29,0,0,0
559,Fire,2008/4/27,1,1,0
560,Fire,2008/4/23,0,0,0
561,Fire,2008/4/20,0,1,0
562,Fire,2008/4/16,2,0,0
563,Fire,2008/4/11,0,0,0
564,Fire,2008/4/2,5,0,0
565,Fire,2008/3/23,12,1,0
566,Fire,2008/3/20,4,0,0
567,Storm surge,2008/3/20,0,0,0
568,Storm surge,2008/3/20,0,0,0
569,Fire,1992/4/30,11,0,0
570,Storm surge,2008/3/20,0,0,0
571,Storm surge,2008/3/20,0,0,0
572,Fire,1992/1/1,11,0,0
573,Storm surge,2008/3/20,0,0,0
574,Fire,2008/0/0,0,0,0
575,Fire,2008/3/16,0,0,0
576,Structural collapse,2008/3/0,0,0,0
577,Landslide,2008/0/0,0,0,0
578,Fire,1992/4/26,6,0,0
579,Fire,2008/2/26,2,0,0
580,Fire,2008/2/17,0,0,0
581,Forestal fire,2008/2/11,0,0,0
582,Fire,2008/2/3,0,0,0
583,Fire,2008/1/26,2,0,1
584,Fire,1992/4/21,1,0,0
585,Fire,2008/1/22,13,0,0
586,Landslide,1992/4/20,0,0,0
587,Fire,2008/1/20,3,0,0
588,Fire,1992/4/19,7,0,0
