,Serial,Event,Country,Country Code,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
711,1764.0,TC - Tropical Cyclone,Papua New Guinea,PNG,2007/11/12,172,0,0,145000,162140,133065,0,70000000.0,0
712,1763.0,ST - Severe Local Storm,Papua New Guinea,PNG,2007/10/20,0,0,0,0,0,0,0,0.0,0
713,1762.0,ST - Severe Local Storm,Papua New Guinea,PNG,2007/10/15,0,0,0,0,0,0,0,0.0,0
714,1761.0,FL - Flood,Papua New Guinea,PNG,2007/8/10,2,0,0,12000,12000,5000,0,500000.0,0
715,1760.0,EQ - Earthquake,Vanuatu,VUT,2007/8/1,0,0,0,0,0,0,0,0.0,0
716,1759.0,FL - Flood,Solomon Islands,SLB,2007/6/24,0,0,0,3000,3000,3000,0,0.0,0
717,1758.0,FL - Flood,East Timor,ETM,2007/6/2,1,0,0,947,947,0,0,0.0,0
718,1757.0,TC - Tropical Cyclone,Fiji,FJI,2007/4/5,1,0,0,0,0,0,0,3000000.0,0
719,1457.0,TC - Tropical Cyclone,Fiji,FJI,1977/12/0,0,0,0,0,0,0,0,0.0,0
720,1456.0,EQ - Earthquake,Tonga,TON,1977/6/22,0,2,0,5505,5505,0,0,1200000.0,0
721,1455.0,EQ - Earthquake,Solomon Islands,SLB,1977/4/21,18,1,0,1000,1000,0,0,5000000.0,0
722,1454.0,EQ - Earthquake,Solomon Islands,SLB,1977/4/20,0,1,0,0,0,0,0,0.0,0
723,1453.0,EQ - Earthquake,Solomon Islands,SLB,1977/4/20,32,0,0,1000,1000,0,0,0.0,0
724,1452.0,EQ - Earthquake,Samoa,WSM,1977/4/2,0,0,0,0,0,0,0,0.0,0
725,1451.0,TC - Tropical Cyclone,Tonga,TON,1977/4/0,0,0,0,10005,10005,0,0,1100000.0,0
726,1450.0,TC - Tropical Cyclone,Fiji,FJI,1977/1/20,0,0,0,0,0,0,0,0.0,0
727,1449.0,TC - Tropical Cyclone,Palau,PLW,1976/4/3,0,0,0,0,0,0,0,4000000.0,0
728,1448.0,EQ - Earthquake,Solomon Islands,SLB,1975/7/21,200,0,0,0,0,0,0,0.0,0
729,1447.0,EQ - Earthquake,Papua New Guinea,PNG,1975/7/20,0,0,0,0,0,0,0,5000000.0,0
730,1446.0,TC - Tropical Cyclone,Vanuatu,VUT,1975/3/5,0,0,0,0,0,0,0,0.0,0
731,1445.0,TC - Tropical Cyclone,Fiji,FJI,1975/1/30,0,0,0,23000,23000,0,0,1000000.0,0
732,1444.0,EQ - Earthquake,Solomon Islands,SLB,1974/2/1,0,0,0,0,0,0,0,1000000.0,0
733,1443.0,EQ - Earthquake,Vanuatu,VUT,1973/12/29,0,0,0,0,0,0,0,1000000.0,0
734,1442.0,EQ - Earthquake,Vanuatu,VUT,1973/12/28,0,0,0,0,0,0,0,1000000.0,0
735,1441.0,TC - Tropical Cyclone,Fiji,FJI,1973/12/9,59,0,0,5000,5000,0,0,0.0,0
736,1440.0,TS - Tsunami,Papua New Guinea,PNG,1972/8/26,0,0,0,0,0,0,0,0.0,0
737,1439.0,EQ - Earthquake,Vanuatu,VUT,1972/5/4,0,2,0,0,0,0,0,0.0,0
738,1438.0,TC - Tropical Cyclone,Solomon Islands,SLB,1972/5/30,5,0,0,0,0,0,0,70000000.0,0
739,1437.0,TC - Tropical Cyclone,Vanuatu,VUT,1972/2/2,4,0,0,0,0,0,0,0.0,0
740,1436.0,TC - Tropical Cyclone,Vanuatu,VUT,1972/1/18,4,0,0,0,0,0,0,0.0,0
741,1435.0,TC - Tropical Cyclone,Solomon Islands,SLB,1971/12/2,1,0,0,0,0,0,0,0.0,0
742,1434.0,EQ - Earthquake,Vanuatu,VUT,1971/10/27,1,51,0,0,0,0,0,5000000.0,0
743,1433.0,EQ - Earthquake,Vanuatu,VUT,1971/10/25,1,0,0,0,0,0,0,0.0,0
744,1432.0,EQ - Earthquake,Papua New Guinea,PNG,1971/9/25,0,0,0,0,0,0,0,0.0,0
745,1431.0,EQ - Earthquake,Papua New Guinea,PNG,1971/7/26,0,0,0,0,0,0,0,1000000.0,0
746,1430.0,EQ - Earthquake,Papua New Guinea,PNG,1971/7/14,2,5,0,0,0,0,0,0.0,0
747,1429.0,LS - Landslide,Papua New Guinea,PNG,1971/3/21,100,0,0,0,0,0,0,0.0,0
748,1428.0,EQ - Earthquake,Papua New Guinea,PNG,1970/10/31,15,20,0,0,0,0,0,1750000.0,0
749,1427.0,TC - Tropical Cyclone,Solomon Islands,SLB,1970/4/14,2,0,0,0,0,0,0,0.0,0
750,1426.0,TC - Tropical Cyclone,Tonga,TON,1970/4/7,0,0,0,0,0,0,0,1200000.0,0
751,1425.0,EQ - Earthquake,Solomon Islands,SLB,1969/1/5,0,0,0,0,0,0,0,0.0,0
752,1424.0,TC - Tropical Cyclone,Solomon Islands,SLB,1968/12/11,1,0,0,200,200,0,0,0.0,0
753,1423.0,EQ - Earthquake,Papua New Guinea,PNG,1968/10/23,0,0,0,0,0,0,0,1000000.0,0
754,1422.0,EQ - Earthquake,Papua New Guinea,PNG,1968/2/12,0,0,0,0,0,0,0,0.0,0
755,1290.0,TC - Tropical Cyclone,Cook Islands,COK,1831/0/0,0,0,0,0,0,0,0,0.0,0
756,1289.0,EP - Epidemic,Fiji,FJI,2012/3/13,0,0,0,0,15,0,0,0.0,0
757,1287.0,CE - Complex Emergency,Papua New Guinea,PNG,2012/2/2,4,0,0,184,350,0,0,0.0,0
758,1285.0,TC - Tropical Cyclone,Vanuatu,VUT,2012/2/4,0,0,0,0,32540,0,111,0.0,0
759,1284.0,LS - Landslide,Papua New Guinea,PNG,2012/1/24,25,0,35,0,35000,0,0,0.0,0
760,1275.0,TC - Tropical Cyclone,Fiji,FJI,2012/4/2,6,11,3,0,0,0,9132,0.0,0
761,1274.0,FL - Flood,Fiji,FJI,2012/3/29,11,4,0,0,8584,0,841,0.0,0
762,1272.0,EP - Epidemic,Fiji,FJI,2011/11/14,0,0,0,0,224,0,0,0.0,0
763,1271.0,EP - Epidemic,Federated States of Micronesia,FSM,2011/9/1,2,0,0,0,1082,0,0,0.0,0
764,1270.0,AC - Technical Disaster,Palau,PLW,2011/11/5,0,0,0,0,350,0,0,0.0,330000
765,1269.0,EP - Epidemic,Marshall Islands,MHL,2011/10/20,0,0,0,0,1360,0,0,0.0,0
766,1268.0,DR - Drought,Tokelau,TKL,2011/10/4,0,0,0,0,1500,0,0,0.0,0
767,1267.0,DR - Drought,Tuvalu,TUV,2011/9/27,0,0,0,0,11000,0,0,0.0,0
768,1264.0,VO - Volcano,Vanuatu,VUT,2011/7/14,0,0,0,0,0,0,0,0.0,0
769,1262.0,EQ - Earthquake,Solomon Islands,SLB,2011/4/23,0,0,0,0,0,0,0,0.0,0
